ID,POS,Name,TM,Age,NAT,B,T
32906,SP,Sandy Alcantara,Miami,25,DOM,Right,Right
32688,SP,Tyler Alexander,Detroit,26,USA,Right,Left
33887,SP,Adbert Alzolay,Chicago,26,VEN,Right,Right
21368,SP,Brett Anderson,Milwaukee,33,USA,Left,Left
25637,SP,Ian Anderson,Atlanta,22,USA,Right,Right
29793,SP,Tyler Anderson,Pittsburgh,31,USA,Left,Left
83,SP,Tejay Antone,Cincinnati,27,USA,Right,Right
23901,SP,Chris Archer,Tampa Bay,32,USA,Right,Right
36338,SP,Kohei Arihara,Texas,28,JPN,Right,Right
22701,SP,Jake Arrieta,Chicago,35,USA,Right,Right
36574,SP,Michel Baez,San Diego,25,CUB,Right,Right
20100,SP,Brandon Bailey,Cincinnati,26,USA,Right,Right
29541,SP,Chris Bassitt,Oakland,32,USA,Right,Right
29427,SP,Trevor Bauer,Los Angeles,30,USA,Right,Right
29794,SP,Tyler Beede,San Francisco,27,USA,Right,Right
35771,SP,Jalen Beeks,Tampa Bay,27,USA,Left,Left
30715,SP,Jose Berrios,Minnesota,26,PUR,Right,Right
18966,SP,Shane Bieber,Cleveland,25,USA,Right,Right
32010,SP,Matthew Boyd,Detroit,30,USA,Left,Left
33055,SP,Steven Brault,Pittsburgh,28,USA,Left,Left
584,SP,JT Brubaker,Pittsburgh,27,USA,Right,Right
20875,SP,Walker Buehler,Los Angeles,26,USA,Right,Right
24105,SP,Madison Bumgarner,Arizona,31,USA,Right,Left
29428,SP,Dylan Bundy,Los Angeles,28,USA,Switch,Right
19150,SP,Brock Burke,Texas,24,USA,Left,Left
36852,SP,Corbin Burnes,Milwaukee,26,USA,Right,Right
20521,SP,Carlos Carrasco,New York,34,VEN,Right,Right
35135,SP,Luis Castillo,Cincinnati,28,DOM,Right,Right
1016,SP,Dylan Cease,Chicago,25,USA,Right,Right
21232,SP,Tyler Chatwood,Toronto,31,USA,Right,Right
34944,SP,Yonny Chirinos,Tampa Bay,27,VEN,Right,Right
20056,SP,Aaron Civale,Cleveland,25,USA,Right,Right
30255,SP,Mike Clevinger,San Diego,30,USA,Right,Right
24221,SP,Alex Cobb,Los Angeles,33,USA,Right,Right
20844,SP,Gerrit Cole,New York,30,USA,Right,Right
1611,SP,Edwar Colina,Minnesota,23,VEN,Right,Right
27927,SP,Patrick Corbin,Washington,31,USA,Left,Left
32174,SP,Wil Crowe,Pittsburgh,26,USA,Right,Right
18732,SP,Johnny Cueto,San Francisco,35,DOM,Right,Right
30345,SP,Yu Darvish,San Diego,34,JPN,Right,Right
30207,SP,Zach Davies,Chicago,28,USA,Right,Right
28467,SP,Jacob deGrom,New York,32,USA,Left,Right
30205,SP,Anthony DeSclafani,San Francisco,30,USA,Right,Right
26635,SP,Danny Duffy,Kansas City,32,USA,Left,Left
33351,SP,Dane Dunning,Texas,26,USA,Right,Right
30729,SP,Zach Eflin,Philadelphia,26,USA,Right,Right
27033,SP,Nathan Eovaldi,Boston,31,USA,Right,Right
20179,SP,Caleb Ferguson,Los Angeles,24,USA,Right,Left
24627,SP,Mike Fiers,Oakland,35,USA,Right,Right
1065,SP,Jack Flaherty,St. Louis,25,USA,Right,Right
37279,SP,Josh Fleming,Tampa Bay,24,USA,Right,Left
31447,SP,Chris Flexen,Seattle,26,USA,Right,Right
20132,SP,Bernardo Flores Jr.,St. Louis,25,USA,Left,Left
28822,SP,Mike Foltynewicz,Texas,29,USA,Right,Right
9,SP,Kyle Freeland,Colorado,27,USA,Left,Left
30629,SP,Max Fried,Atlanta,27,USA,Left,Left
167,SP,Zac Gallen,Arizona,25,USA,Right,Right
30150,SP,John Gant,St. Louis,28,USA,Right,Right
37719,SP,Luis Garcia,Houston,24,VEN,Right,Right
26858,SP,Rony Garcia,Detroit,23,DOM,Right,Right
30623,SP,Kevin Gausman,San Francisco,30,USA,Left,Right
31429,SP,Domingo German,New York,28,DOM,Right,Right
28221,SP,Kyle Gibson,Texas,33,USA,Right,Right
30619,SP,Lucas Giolito,Chicago,26,USA,Right,Right
30162,SP,Tyler Glasnow,Tampa Bay,27,USA,Left,Right
229,SP,Austin Gomber,Colorado,27,USA,Left,Left
31955,SP,Marco Gonzales,Seattle,29,USA,Left,Left
77,SP,Brusdar Graterol,Los Angeles,22,VEN,Right,Right
31857,SP,Jon Gray,Colorado,29,USA,Right,Right
21618,SP,Sonny Gray,Cincinnati,31,USA,Right,Right
18066,SP,Zack Greinke,Houston,37,USA,Right,Right
19156,SP,Jorge Guzman,Miami,25,DOM,Right,Right
18597,SP,J.A. Happ,Minnesota,38,USA,Left,Left
29133,SP,Matt Harvey,Baltimore,32,USA,Right,Right
25624,SP,Thomas Hatch,Toronto,26,USA,Right,Right
30662,SP,Andrew Heaney,Los Angeles,29,USA,Left,Left
30102,SP,Kyle Hendricks,Chicago,31,USA,Right,Right
34039,SP,Elieser Hernandez,Miami,25,VEN,Right,Right
18127,SP,Rich Hill,Tampa Bay,41,USA,Left,Left
10,SP,Jeff Hoffman,Cincinnati,28,USA,Right,Right
20678,SP,Tanner Houck,Boston,24,USA,Right,Right
29229,SP,Adrian Houser,Milwaukee,28,USA,Right,Right
33362,SP,Dakota Hudson,St. Louis,26,USA,Right,Right
19952,SP,Josh James,Houston,28,USA,Right,Right
529,SP,Cristian Javier,Houston,24,DOM,Right,Right
30200,SP,Jakob Junis,Kansas City,28,USA,Right,Right
20952,SP,James Kaprielian,Oakland,27,USA,Right,Right
33014,SP,Brad Keller,Kansas City,25,USA,Right,Right
1660,SP,Mitch Keller,Pittsburgh,24,USA,Right,Right
29095,SP,Merrill Kelly,Arizona,32,USA,Right,Right
18781,SP,Clayton Kershaw,Los Angeles,33,USA,Left,Left
24716,SP,Dallas Keuchel,Chicago,33,USA,Left,Left
34293,SP,Yusei Kikuchi,Seattle,29,JPN,Left,Left
34318,SP,Kwang Hyun Kim,St. Louis,32,KOR,Left,Left
22616,SP,Corey Kluber,New York,34,USA,Right,Right
20368,SP,Dean Kremer,Baltimore,25,USA,Right,Right
32141,SP,Chad Kuhl,Pittsburgh,28,USA,Right,Right
25629,SP,Peter Lambert,Colorado,23,USA,Right,Right
36612,SP,Dinelson Lamet,San Diego,28,DOM,Right,Right
18396,SP,Jon Lester,Washington,37,USA,Left,Left
29846,SP,Jorge Lopez,Baltimore,28,PUR,Right,Right
32524,SP,Pablo Lopez,Miami,25,VEN,Left,Right
31928,SP,Michael Lorenzen,Cincinnati,29,USA,Right,Right
